Transport ID;Container ID;Container Type;Forwarder;Trucking Time Start;Ground Handler 1;Airport 1;Ground Handler 2;Airport 2;Ground Handler 3;Airport 3;Ground Handler 4;Airport 4;Ground Handler 5;Airport 5;Trucking Time End
5741;000-10291;770C;;04.12.2013;;;;; ##; ##; ##; ##; ##; ##;04.12.2013
5742;000-10292;770C;;04.12.2013;;;;; ##; ##; ##; ##; ##; ##;04.12.2013
5743;000-10151;770C;;11.09.2013;;;;; ##; ##; ##; ##; ##; ##;11.09.2013
5744;000-10151;770C;;25.11.2013;;;;; ##; ##; ##; ##; ##; ##;25.11.2013
5745;000-10153;770C;;11.09.2013;;;;; ##; ##; ##; ##; ##; ##;11.09.2013
5746;000-10153;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5747;000-10152;770C;;11.09.2013;;;;; ##; ##; ##; ##; ##; ##;11.09.2013
5748;000-10152;770C;;22.11.2013;;;;; ##; ##; ##; ##; ##; ##;22.11.2013
5749;000-10155;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5750;000-10154;770C;;11.09.2013;;;;; ##; ##; ##; ##; ##; ##;11.09.2013
5751;000-10154;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5752;000-10157;770C;;11.09.2013;;;;; ##; ##; ##; ##; ##; ##;11.09.2013
5753;000-10157;770C;;26.11.2013;;;;; ##; ##; ##; ##; ##; ##;26.11.2013
5754;000-10156;770C;;11.09.2013;;;;; ##; ##; ##; ##; ##; ##;11.09.2013
5755;000-10156;770C;;21.10.2013;;;;; ##; ##; ##; ##; ##; ##;21.10.2013
5756;000-10012;770C;;04.07.2013;;;;; ##; ##; ##; ##; ##; ##;04.07.2013
5757;000-10012;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5758;000-10011;770C;;04.07.2013;;;;; ##; ##; ##; ##; ##; ##;04.07.2013
5759;000-10011;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5760;000-10014;770C;;25.11.2013;;;;; ##; ##; ##; ##; ##; ##;25.11.2013
5761;000-10014;770C;;25.11.2013;;;;; ##; ##; ##; ##; ##; ##;25.11.2013
5762;000-10013;770C;;04.07.2013;;;;; ##; ##; ##; ##; ##; ##;04.07.2013
5763;000-10013;770C;;22.11.2013;;;;; ##; ##; ##; ##; ##; ##;22.11.2013
5764;000-10010;770C;;04.07.2013;;;;; ##; ##; ##; ##; ##; ##;04.07.2013
5765;000-10010;770C;;26.11.2013;;;;; ##; ##; ##; ##; ##; ##;26.11.2013
5766;000-10366;770C;;09.12.2013;;;;; ##; ##; ##; ##; ##; ##;09.12.2013
5767;000-10365;770C;;09.12.2013;;;;; ##; ##; ##; ##; ##; ##;09.12.2013
5768;000-10364;770C;;06.12.2013;;;;; ##; ##; ##; ##; ##; ##;06.12.2013
5769;000-10363;770C;;06.12.2013;;;;; ##; ##; ##; ##; ##; ##;06.12.2013
5770;000-10362;770C;;06.12.2013;;;;; ##; ##; ##; ##; ##; ##;06.12.2013
5771;000-10361;770C;;06.12.2013;;;;; ##; ##; ##; ##; ##; ##;06.12.2013
5772;000-10360;770C;;06.12.2013;;;;; ##; ##; ##; ##; ##; ##;06.12.2013
5773;000-10169;770C;;13.09.2013;;;;; ##; ##; ##; ##; ##; ##;13.09.2013
5774;000-10169;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5775;000-10263;770C;;29.11.2013;;;;; ##; ##; ##; ##; ##; ##;29.11.2013
5776;000-10262;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5777;000-10261;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
5778;000-10260;770C;;27.11.2013;;;;; ##; ##; ##; ##; ##; ##;27.11.2013
